=== robustness runs/abl5_none/seed0 ===
contrast s1: err 0.8225
contrast s2: err 0.9111
contrast s3: err 0.9371
contrast s4: err 0.9546
contrast s5: err 0.9681
elastic_transform s1: err 0.7979
elastic_transform s2: err 0.7976
elastic_transform s3: err 0.7958
elastic_transform s4: err 0.7931
elastic_transform s5: err 0.7955
pixelate s1: err 0.7881
pixelate s2: err 0.7892
pixelate s3: err 0.7904
pixelate s4: err 0.7898
pixelate s5: err 0.7924
jpeg_compression s1: err 0.7910
jpeg_compression s2: err 0.7930
jpeg_compression s3: err 0.7961
jpeg_compression s4: err 0.7965
jpeg_compression s5: err 0.8025
clean err 0.7887 -> runs/abl5_learned/seed1/robustness.json
=== robustness runs/abl5_learned/seed2 ===
gaussian_noise s1: err 0.7875
gaussian_noise s2: err 0.7871
gaussian_noise s3: err 0.7924
gaussian_noise s4: err 0.7944
gaussian_noise s5: err 0.7943
shot_noise s1: err 0.7852
shot_noise s2: err 0.7878
shot_noise s3: err 0.7857
shot_noise s4: err 0.7882
shot_noise s5: err 0.7958
impulse_noise s1: err 0.7842
impulse_noise s2: err 0.7905
impulse_noise s3: err 0.7946
impulse_noise s4: err 0.8033
impulse_noise s5: err 0.8141
defocus_blur s1: err 0.7836
defocus_blur s2: err 0.7848
defocus_blur s3: err 0.7871
defocus_blur s4: err 0.7873
defocus_blur s5: err 0.7953
glass_blur s1: err 0.7864
glass_blur s2: err 0.7860
glass_blur s3: err 0.7879
glass_blur s4: err 0.7930
glass_blur s5: err 0.7949
motion_blur s1: err 0.7868
motion_blur s2: err 0.7906
motion_blur s3: err 0.7928
motion_blur s4: err 0.7962
motion_blur s5: err 0.8023
zoom_blur s1: err 0.7865
zoom_blur s2: err 0.7872
zoom_blur s3: err 0.7897
zoom_blur s4: err 0.7909
zoom_blur s5: err 0.7942
snow s1: err 0.7962
snow s2: err 0.8213
snow s3: err 0.8272
snow s4: err 0.8627
snow s5: err 0.8868
frost s1: err 0.8354
frost s2: err 0.8767
frost s3: err 0.8949
frost s4: err 0.8923
frost s5: err 0.9065
fog s1: err 0.8066
fog s2: err 0.8660
fog s3: err 0.9062
fog s4: err 0.9316
fog s5: err 0.9533
brightness s1: err 0.7908
brightness s2: err 0.8111
brightness s3: err 0.8327
brightness s4: err 0.8529
brightness s5: err 0.8903
contrast s1: err 0.8245
contrast s2: err 0.9065
contrast s3: err 0.9370
contrast s4: err 0.9569
contrast s5: err 0.9710
elastic_transform s1: err 0.7960
elastic_transform s2: err 0.7928
elastic_transform s3: err 0.7929
elastic_transform s4: err 0.7934
elastic_transform s5: err 0.7922
pixelate s1: err 0.7844
pixelate s2: err 0.7844
pixelate s3: err 0.7852
pixelate s4: err 0.7862
pixelate s5: err 0.7873
jpeg_compression s1: err 0.7837
jpeg_compression s2: err 0.7906
jpeg_compression s3: err 0.7913
jpeg_compression s4: err 0.7952
jpeg_compression s5: err 0.7981
clean err 0.7826 -> runs/abl5_learned/seed2/robustness.json
LOWDATA_ROBUST_COMPLETE
