  grid_esat_r18_e99fb4_10pct seed1 [last.pt]: acc 93.67
  grid_esat_r18_e99fb4_10pct seed2 [last.pt]: acc 93.22
  grid_esat_r18_e99fb4_25pct seed0 [last.pt]: acc 97.56
  grid_esat_r18_e99fb4_25pct seed1 [last.pt]: acc 97.33
  grid_esat_r18_e99fb4_25pct seed2 [last.pt]: acc 97.43
  grid_esat_r18_e99fb4_5pct seed0 [last.pt]: acc 90.57
  grid_esat_r18_e99fb4_5pct seed1 [last.pt]: acc 90.96
  grid_esat_r18_e99fb4_5pct seed2 [last.pt]: acc 90.83
[food101] extracting 15 cells
  diagfuse_food_aug_10pct seed0 [last.pt]: acc 50.44
  diagfuse_food_aug_10pct seed1 [last.pt]: acc 51.34
  diagfuse_food_aug_10pct seed2 [last.pt]: acc 51.16
  diagfuse_food_aug_25pct seed0 [last.pt]: acc 65.40
  diagfuse_food_aug_25pct seed1 [last.pt]: acc 66.18
  diagfuse_food_aug_25pct seed2 [last.pt]: acc 66.18
  diagfuse_food_aug_5pct seed0 [last.pt]: acc 31.85
  diagfuse_food_aug_5pct seed1 [last.pt]: acc 31.54
  diagfuse_food_aug_5pct seed2 [last.pt]: acc 30.71
  diaggrid_dino_food_50pct seed0 [last.pt]: acc 39.85
  diaggrid_dino_food_50pct seed1 [last.pt]: acc 40.22
  diaggrid_dino_food_50pct seed2 [last.pt]: acc 41.00
  diaggrid_simclr_food_10pct seed0 [last.pt]: acc 46.99
  diaggrid_simclr_food_10pct seed1 [last.pt]: acc 48.02
  diaggrid_simclr_food_10pct seed2 [last.pt]: acc 46.50
  diaggrid_simclr_food_25pct seed0 [last.pt]: acc 62.30
  diaggrid_simclr_food_25pct seed1 [last.pt]: acc 62.35
  diaggrid_simclr_food_25pct seed2 [last.pt]: acc 62.37
  diaggrid_simclr_food_5pct seed0 [last.pt]: acc 33.19
  diaggrid_simclr_food_5pct seed1 [last.pt]: acc 29.58
  diaggrid_simclr_food_5pct seed2 [last.pt]: acc 31.63
  diaggrid_vit_food_aux_50pct seed0 [last.pt]: acc 36.16
  diaggrid_vit_food_aux_50pct seed1 [last.pt]: acc 35.67
  diaggrid_vit_food_aux_50pct seed2 [last.pt]: acc 36.44
  diaggrid_vit_food_none_50pct seed0 [last.pt]: acc 26.13
  diaggrid_vit_food_none_50pct seed1 [last.pt]: acc 25.56
  diaggrid_vit_food_none_50pct seed2 [last.pt]: acc 25.08
  grid_food_r18_9ee7da_10pct seed0 [last.pt]: acc 42.76
  grid_food_r18_9ee7da_10pct seed1 [last.pt]: acc 40.05
  grid_food_r18_9ee7da_10pct seed2 [last.pt]: acc 42.38
  grid_food_r18_9ee7da_25pct seed0 [last.pt]: acc 63.05
  grid_food_r18_9ee7da_25pct seed1 [last.pt]: acc 62.74
  grid_food_r18_9ee7da_25pct seed2 [last.pt]: acc 62.87
  grid_food_r18_9ee7da_5pct seed0 [last.pt]: acc 22.84
  grid_food_r18_9ee7da_5pct seed1 [last.pt]: acc 21.49
  grid_food_r18_9ee7da_5pct seed2 [last.pt]: acc 21.36
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct seed0 [last.pt]: acc 44.85
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct seed1 [last.pt]: acc 44.68
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct seed2 [last.pt]: acc 45.19
