[cifar10] 25-shot probes for 9 cells
  diagvit_none_25pct seed1 [last.pt]: 25-shot test 27.89
  diagvit_none_25pct seed2 [last.pt]: 25-shot test 28.77
  diagvit_none_2pct seed0 [last.pt]: 25-shot test 9.21
  diagvit_none_2pct seed1 [last.pt]: 25-shot test 9.59
  diagvit_none_2pct seed2 [last.pt]: 25-shot test 9.73
  diagvit_none_3pct seed0 [last.pt]: 25-shot test 10.55
  diagvit_none_3pct seed1 [last.pt]: 25-shot test 9.97
  diagvit_none_3pct seed2 [last.pt]: 25-shot test 9.88
  diagvit_none_5pct seed0 [last.pt]: 25-shot test 11.98
  diagvit_none_5pct seed1 [last.pt]: 25-shot test 11.26
  diagvit_none_5pct seed2 [last.pt]: 25-shot test 13.37
  diagvit_none_7pct seed0 [last.pt]: 25-shot test 14.72
  diagvit_none_7pct seed1 [last.pt]: 25-shot test 13.97
  diagvit_none_7pct seed2 [last.pt]: 25-shot test 14.68
[dtd] 25-shot probes for 3 cells
  diaggrid_dino_dtd_50pct seed0 [last.pt]: 25-shot test 15.64
  diaggrid_dino_dtd_50pct seed1 [last.pt]: 25-shot test 14.68
  diaggrid_dino_dtd_50pct seed2 [last.pt]: 25-shot test 15.53
  diaggrid_vit_dtd_aux_50pct seed0 [last.pt]: 25-shot test 24.04
  diaggrid_vit_dtd_aux_50pct seed1 [last.pt]: 25-shot test 23.67
  diaggrid_vit_dtd_aux_50pct seed2 [last.pt]: 25-shot test 24.68
  diaggrid_vit_dtd_none_50pct seed0 [last.pt]: 25-shot test 14.52
  diaggrid_vit_dtd_none_50pct seed1 [last.pt]: 25-shot test 13.94
  diaggrid_vit_dtd_none_50pct seed2 [last.pt]: 25-shot test 13.88
[eurosat] 25-shot probes for 12 cells
  diagfuse_esat_aug_10pct seed0 [last.pt]: 25-shot test 91.85
  diagfuse_esat_aug_10pct seed1 [last.pt]: 25-shot test 91.70
  diagfuse_esat_aug_10pct seed2 [last.pt]: 25-shot test 91.28
