cell,dataset,backbone,optimizer,epochs,head,stem,init_from,pretrained,aux_target,aux_tap,aux_lambda0,aux_lambda_final,subset_pct,n_images,n_seeds,acc_mean,acc_std,probe_mean,probe_std,n_probe_seeds,is_headline,bistable,baseline_cell,base_acc,delta,delta_sem,G,G_sem,readout
grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,50,25000,3,71.34,0.11,70.89,0.13,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.44,0.08,-0.20,0.14,-0.24
grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,5,2500,3,25.98,0.84,38.18,0.49,3,yes,,abl5_none,25.36,0.62,0.51,0.96,0.32,-0.34
grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,7,3500,3,33.01,0.63,43.37,0.16,3,yes,,abl7_none,32.09,0.92,0.54,1.12,0.32,-0.20
grid_c100_r18_axmagnitudeL3_l03_f0bd42_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,20,10000,3,57.30,0.33,60.48,0.28,3,yes,,grid_c100_r18_3a0225_20pct,57.00,0.30,0.32,0.30,0.33,-0.00
grid_c100_r18_axmagnitudeL3_l03_f0bd42_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,50,25000,3,71.32,0.08,70.62,0.23,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.46,0.07,-0.47,0.18,0.01
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_10pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,10,5000,3,43.47,0.62,51.67,0.58,3,yes,,abl10_none,40.28,3.19,0.40,3.73,0.37,-0.55
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_1pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,1,500,3,9.58,0.07,28.88,0.09,3,yes,,abl1_none,8.95,0.63,0.05,2.26,0.10,-1.63
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,20,10000,3,58.49,0.07,61.11,0.26,3,yes,,grid_c100_r18_3a0225_20pct,57.00,1.49,0.26,0.93,0.33,0.56
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_2pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,2,1000,3,15.20,0.04,32.38,0.26,3,yes,,abl2_none,14.17,1.02,0.09,2.55,0.30,-1.52
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,3,1500,3,19.93,0.46,36.18,0.61,3,yes,,abl3_none,18.47,1.46,0.27,3.41,0.37,-1.95
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,50,25000,3,71.98,0.30,71.46,0.07,3,yes,,grid_c100_r18_3a0225_50pct,71.79,0.19,0.18,0.37,0.13,-0.18
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,5,2500,3,28.61,0.30,42.20,0.02,3,yes,,abl5_none,25.36,3.25,0.25,4.98,0.15,-1.73
grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,7,3500,3,36.17,0.69,46.26,0.08,3,yes,,abl7_none,32.09,4.07,0.56,4.02,0.31,0.05
grid_c100_r18_axmagnitudeL3_l05_86a99d_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,15,7500,3,52.53,0.42,57.28,0.15,3,yes,,abl15_none,50.09,2.44,0.36,2.65,0.22,-0.21
grid_c100_r18_axmagnitudeL3_l05_86a99d_1pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,1,500,3,9.92,0.25,29.74,0.49,3,yes,,abl1_none,8.95,0.97,0.15,3.13,0.30,-2.16
grid_c100_r18_axmagnitudeL3_l05_86a99d_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,20,10000,3,58.12,0.14,60.84,0.32,3,yes,,grid_c100_r18_3a0225_20pct,57.00,1.12,0.27,0.66,0.34,0.46
grid_c100_r18_axmagnitudeL3_l05_86a99d_25pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,25,12500,3,61.53,0.28,63.70,0.17,3,yes,,abl25_none,61.35,0.18,0.31,0.51,0.15,-0.33
grid_c100_r18_axmagnitudeL3_l05_86a99d_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,3,1500,3,20.83,0.21,37.36,0.15,3,yes,,abl3_none,18.47,2.36,0.13,4.59,0.14,-2.23
grid_c100_r18_axmagnitudeL3_l05_86a99d_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,50,25000,3,71.47,0.16,71.11,0.13,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.32,0.11,0.02,0.14,-0.34
grid_c100_r18_axmagnitudeL3_l05_86a99d_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,5,2500,3,29.59,0.28,42.61,0.52,3,yes,,abl5_none,25.36,4.23,0.24,5.39,0.34,-1.16
grid_c100_r18_axmagnitudeL3_l05_86a99d_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,7,3500,3,36.12,0.24,46.74,0.33,3,yes,,abl7_none,32.09,4.03,0.42,4.49,0.37,-0.46
grid_c100_r18_axmagnitudeL3_l10_270a59_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,15,7500,3,52.23,0.35,56.97,0.55,3,yes,,abl15_none,50.09,2.14,0.33,2.34,0.38,-0.20
grid_c100_r18_axmagnitudeL3_l10_270a59_1pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,1,500,3,10.51,0.08,31.25,0.40,3,yes,,abl1_none,8.95,1.55,0.06,4.64,0.24,-3.08
grid_c100_r18_axmagnitudeL3_l10_270a59_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,20,10000,3,57.17,0.13,60.31,0.39,3,yes,,grid_c100_r18_3a0225_20pct,57.00,0.17,0.27,0.13,0.37,0.04
grid_c100_r18_axmagnitudeL3_l10_270a59_25pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,25,12500,3,61.50,0.62,63.48,0.73,3,yes,,abl25_none,61.35,0.15,0.45,0.30,0.44,-0.14
grid_c100_r18_axmagnitudeL3_l10_270a59_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,3,1500,3,22.02,0.05,38.47,0.27,3,yes,,abl3_none,18.47,3.55,0.05,5.70,0.19,-2.15
grid_c100_r18_axmagnitudeL3_l10_270a59_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,50,25000,3,70.99,0.39,70.41,0.55,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.80,0.23,-0.68,0.34,-0.12
grid_c100_r18_axmagnitudeL3_l10_270a59_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,5,2500,3,30.58,0.13,43.09,0.40,3,yes,,abl5_none,25.36,5.22,0.19,5.87,0.28,-0.66
grid_c100_r18_axmagnitudeL3_l10_270a59_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,7,3500,3,36.47,0.04,46.29,0.45,3,yes,,abl7_none,32.09,4.38,0.40,4.05,0.40,0.33
grid_c100_r18_axmagnitudeL3_l10to00_b0bf76_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,20,10000,3,57.62,0.10,60.55,0.35,3,yes,,grid_c100_r18_3a0225_20pct,57.00,0.62,0.26,0.37,0.35,0.24
grid_c100_r18_axmagnitudeL3_l10to00_b0bf76_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,50,25000,3,71.14,0.38,70.88,0.45,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.64,0.22,-0.21,0.29,-0.43
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_100pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,100,50000,3,78.44,0.19,78.38,0.20,3,yes,,ablf_none,78.52,-0.08,0.14,,,
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,15,7500,3,53.14,0.11,57.70,0.60,3,yes,,abl15_none,50.09,3.05,0.27,3.08,0.40,-0.02
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_1pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,1,500,3,10.22,0.17,31.06,0.27,3,yes,,abl1_none,8.95,1.26,0.10,4.44,0.18,-3.17
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,20,10000,3,58.57,0.48,60.90,0.44,3,yes,,grid_c100_r18_3a0225_20pct,57.00,1.57,0.38,0.72,0.39,0.85
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_25pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,25,12500,3,62.17,0.23,63.69,0.05,3,yes,,abl25_none,61.35,0.82,0.30,0.50,0.12,0.32
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_2pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,2,1000,3,17.14,0.16,35.35,0.05,3,yes,,abl2_none,14.17,2.96,0.13,5.52,0.26,-2.55
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,3,1500,3,22.26,0.49,38.96,0.46,3,yes,,abl3_none,18.47,3.79,0.28,6.19,0.29,-2.40
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,50,25000,3,71.20,0.30,70.84,0.09,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.59,0.18,-0.25,0.13,-0.33
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,5,2500,3,30.88,0.53,44.14,0.27,3,yes,,abl5_none,25.36,5.51,0.35,6.92,0.22,-1.41
grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,7,3500,3,37.29,0.32,48.06,0.06,3,yes,,abl7_none,32.09,5.20,0.44,5.82,0.31,-0.62
grid_c100_r18_axmagnitudeL3_l10to01_8fc310_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,20,10000,3,57.92,0.37,,,,yes,,grid_c100_r18_3a0225_20pct,57.00,0.92,0.33,,,
grid_c100_r18_axmagnitudeL3_l10to01_8fc310_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,50,25000,3,71.24,0.14,70.99,0.31,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.55,0.10,-0.10,0.21,-0.45
grid_c100_r18_axmagnitudeL3_l20_017c1a_100pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,100,50000,3,77.61,0.29,77.60,0.35,3,yes,,ablf_none,78.52,-0.90,0.19,,,
grid_c100_r18_axmagnitudeL3_l20_017c1a_10pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,10,5000,3,43.73,0.54,51.52,0.67,3,yes,,abl10_none,40.28,3.45,0.36,3.58,0.42,-0.13
grid_c100_r18_axmagnitudeL3_l20_017c1a_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,15,7500,3,51.67,0.22,56.70,0.22,3,yes,,abl15_none,50.09,1.58,0.29,2.07,0.24,-0.49
grid_c100_r18_axmagnitudeL3_l20_017c1a_1pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,1,500,3,10.89,0.11,31.49,0.20,3,yes,,abl1_none,8.95,1.94,0.07,4.87,0.15,-2.94
grid_c100_r18_axmagnitudeL3_l20_017c1a_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,20,10000,3,57.08,0.41,59.89,0.50,3,yes,,grid_c100_r18_3a0225_20pct,57.00,0.08,0.35,-0.29,0.41,0.37
grid_c100_r18_axmagnitudeL3_l20_017c1a_25pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,25,12500,3,60.66,0.33,63.09,0.32,3,yes,,abl25_none,61.35,-0.69,0.33,-0.10,0.22,-0.59
grid_c100_r18_axmagnitudeL3_l20_017c1a_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,3,1500,3,22.65,0.54,38.83,0.51,3,yes,,abl3_none,18.47,4.18,0.31,6.06,0.31,-1.89
grid_c100_r18_axmagnitudeL3_l20_017c1a_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,50,25000,3,70.48,0.12,70.24,0.15,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-1.31,0.08,-0.85,0.15,-0.45
grid_c100_r18_axmagnitudeL3_l20_017c1a_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,5,2500,3,31.00,0.50,43.72,0.38,3,yes,,abl5_none,25.36,5.64,0.34,6.50,0.27,-0.87
grid_c100_r18_axmagnitudeL3_l20_017c1a_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,7,3500,3,36.52,0.33,46.47,0.50,3,yes,,abl7_none,32.09,4.43,0.44,4.22,0.43,0.21
grid_c100_r18_axmagnitudeL3_l20to00_461755_100pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,100,50000,3,77.69,0.43,77.76,0.37,3,yes,,ablf_none,78.52,-0.83,0.26,,,
grid_c100_r18_axmagnitudeL3_l20to00_461755_10pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,10,5000,3,44.00,0.81,51.76,0.52,3,yes,,abl10_none,40.28,3.72,0.50,3.82,0.34,-0.10
grid_c100_r18_axmagnitudeL3_l20to00_461755_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,15,7500,3,52.38,0.45,57.12,0.32,3,yes,,abl15_none,50.09,2.29,0.37,2.49,0.28,-0.20
grid_c100_r18_axmagnitudeL3_l20to00_461755_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,20,10000,3,57.06,0.09,60.34,0.16,3,yes,,grid_c100_r18_3a0225_20pct,57.00,0.06,0.26,0.16,0.31,-0.10
grid_c100_r18_axmagnitudeL3_l20to00_461755_25pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,25,12500,3,61.20,0.15,63.20,0.37,3,yes,,abl25_none,61.35,-0.15,0.28,0.02,0.24,-0.17
grid_c100_r18_axmagnitudeL3_l20to00_461755_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,3,1500,3,22.79,0.63,39.02,0.21,3,yes,,abl3_none,18.47,4.32,0.37,6.25,0.16,-1.93
grid_c100_r18_axmagnitudeL3_l20to00_461755_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,50,25000,3,70.67,0.42,70.23,0.16,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-1.12,0.25,-0.86,0.15,-0.26
grid_c100_r18_axmagnitudeL3_l20to00_461755_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,5,2500,3,31.13,0.08,44.16,0.13,3,yes,,abl5_none,25.36,5.77,0.18,6.94,0.17,-1.17
grid_c100_r18_axmagnitudeL3_l20to00_461755_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,7,3500,3,36.90,0.23,47.06,0.23,3,yes,,abl7_none,32.09,4.81,0.42,4.81,0.34,-0.00
grid_c100_r18_axmagnitudeL4_l03_27e91e_100pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,100,50000,3,78.55,0.23,78.39,0.21,3,yes,,ablf_none,78.52,0.03,0.16,,,
grid_c100_r18_axmagnitudeL4_l03_27e91e_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,15,7500,3,51.50,0.55,56.11,0.21,3,yes,,abl15_none,50.09,1.41,0.41,1.48,0.24,-0.07
grid_c100_r18_axmagnitudeL4_l03_27e91e_1pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,1,500,3,9.35,0.17,28.35,0.90,3,yes,,abl1_none,8.95,0.40,0.10,1.73,0.53,-1.34
grid_c100_r18_axmagnitudeL4_l03_27e91e_20pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,20,10000,3,57.30,0.11,60.20,0.08,3,yes,,grid_c100_r18_3a0225_20pct,57.00,0.30,0.26,0.02,0.30,0.28
grid_c100_r18_axmagnitudeL4_l03_27e91e_25pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,25,12500,3,61.49,0.32,63.42,0.27,3,yes,,abl25_none,61.35,0.14,0.32,0.23,0.20,-0.09
grid_c100_r18_axmagnitudeL4_l03_27e91e_2pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,2,1000,3,14.94,0.37,32.68,0.67,3,yes,,abl2_none,14.17,0.76,0.23,2.85,0.47,-2.09
grid_c100_r18_axmagnitudeL4_l03_27e91e_3pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,3,1500,3,19.57,0.06,35.44,0.26,3,yes,,abl3_none,18.47,1.10,0.05,2.67,0.19,-1.57
grid_c100_r18_axmagnitudeL4_l03_27e91e_50pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,50,25000,3,71.06,0.27,70.94,0.14,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.73,0.16,-0.15,0.14,-0.58
grid_c100_r18_axmagnitudeL4_l03_27e91e_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,5,2500,3,26.73,0.20,40.21,0.05,3,yes,,abl5_none,25.36,1.37,0.21,2.99,0.16,-1.62
grid_c100_r18_axmagnitudeL4_l03_27e91e_7pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,7,3500,3,33.30,0.03,44.72,0.32,3,yes,,abl7_none,32.09,1.21,0.40,2.48,0.36,-1.27
grid_c100_r18_axmomentscatL3_l03_d020d0_100pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,100,50000,3,78.50,0.06,78.36,0.07,3,yes,,ablf_none,78.52,-0.01,0.10,,,
grid_c100_r18_axmomentscatL3_l03_d020d0_15pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,15,7500,3,50.35,0.41,55.34,0.50,3,yes,,abl15_none,50.09,0.26,0.35,0.71,0.35,-0.45
grid_c100_r18_axmomentscatL3_l03_d020d0_1pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,1,500,3,9.00,0.21,27.01,0.44,3,yes,,abl1_none,8.95,0.04,0.13,0.39,0.27,-0.35
grid_c100_r18_axmomentscatL3_l03_d020d0_20pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,20,10000,3,56.53,0.29,59.42,0.32,3,yes,,grid_c100_r18_3a0225_20pct,57.00,-0.47,0.30,-0.76,0.35,0.29
grid_c100_r18_axmomentscatL3_l03_d020d0_25pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,25,12500,3,61.28,0.50,62.97,0.31,3,yes,,abl25_none,61.35,-0.07,0.39,-0.22,0.22,0.15
grid_c100_r18_axmomentscatL3_l03_d020d0_2pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,2,1000,3,14.18,0.41,30.50,0.55,3,yes,,abl2_none,14.17,0.00,0.25,0.67,0.41,-0.67
grid_c100_r18_axmomentscatL3_l03_d020d0_3pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,3,1500,3,19.01,0.27,33.91,0.52,3,yes,,abl3_none,18.47,0.54,0.16,1.14,0.32,-0.60
grid_c100_r18_axmomentscatL3_l03_d020d0_50pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,50,25000,3,71.18,0.14,70.97,0.28,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.61,0.10,-0.12,0.20,-0.49
grid_c100_r18_axmomentscatL3_l03_d020d0_5pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,5,2500,3,25.92,0.19,38.63,0.78,3,yes,,abl5_none,25.36,0.56,0.21,1.41,0.48,-0.85
grid_c100_r18_axmomentscatL3_l03_d020d0_7pct,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,7,3500,3,32.74,0.24,43.20,0.62,3,yes,,abl7_none,32.09,0.65,0.42,0.95,0.47,-0.31
grid_c100_r18_axrandomfixedL3_l03_ae7802_100pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,100,50000,3,78.28,0.14,78.19,0.16,3,yes,,ablf_none,78.52,-0.24,0.12,,,
grid_c100_r18_axrandomfixedL3_l03_ae7802_15pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,15,7500,3,50.41,0.75,55.65,0.38,3,yes,,abl15_none,50.09,0.32,0.51,1.02,0.30,-0.70
grid_c100_r18_axrandomfixedL3_l03_ae7802_20pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,20,10000,3,56.92,0.13,59.98,0.16,3,yes,,grid_c100_r18_3a0225_20pct,57.00,-0.08,0.27,-0.20,0.31,0.12
grid_c100_r18_axrandomfixedL3_l03_ae7802_25pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,25,12500,3,60.78,0.53,62.40,0.49,3,yes,,abl25_none,61.35,-0.57,0.40,-0.79,0.30,0.22
grid_c100_r18_axrandomfixedL3_l03_ae7802_2pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,2,1000,3,14.44,0.28,30.69,0.40,3,yes,,abl2_none,14.17,0.27,0.18,0.86,0.35,-0.59
grid_c100_r18_axrandomfixedL3_l03_ae7802_3pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,3,1500,3,18.61,0.19,33.55,0.46,3,yes,,abl3_none,18.47,0.14,0.11,0.78,0.29,-0.64
grid_c100_r18_axrandomfixedL3_l03_ae7802_50pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,50,25000,3,71.16,0.28,70.94,0.29,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.62,0.17,-0.15,0.20,-0.47
grid_c100_r18_axrandomfixedL3_l03_ae7802_7pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,7,3500,3,32.14,0.85,42.83,1.04,3,yes,,abl7_none,32.09,0.04,0.63,0.58,0.68,-0.54
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_100pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,100,50000,3,78.17,0.22,78.09,0.17,3,yes,,ablf_none,78.52,-0.35,0.15,,,
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_10pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,10,5000,3,40.04,0.51,47.62,0.53,3,yes,,abl10_none,40.28,-0.24,0.35,-0.32,0.34,0.09
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_15pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,15,7500,3,49.97,0.30,54.84,0.50,3,yes,,abl15_none,50.09,-0.12,0.31,0.21,0.35,-0.33
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_20pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,20,10000,3,55.66,0.30,58.86,0.13,3,yes,,grid_c100_r18_3a0225_20pct,57.00,-1.34,0.31,-1.32,0.30,-0.02
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_25pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,25,12500,3,60.11,0.19,62.10,0.14,3,yes,,abl25_none,61.35,-1.24,0.29,-1.08,0.14,-0.16
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_2pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,2,1000,3,14.63,0.09,30.82,0.26,3,yes,,abl2_none,14.17,0.45,0.10,0.99,0.30,-0.54
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_3pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,3,1500,3,18.86,0.30,33.53,0.48,3,yes,,abl3_none,18.47,0.39,0.18,0.76,0.30,-0.36
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_50pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,50,25000,3,71.03,0.07,70.55,0.22,3,yes,,grid_c100_r18_3a0225_50pct,71.79,-0.75,0.06,-0.54,0.18,-0.21
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_5pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,5,2500,3,25.63,0.42,37.87,0.16,3,yes,,abl5_none,25.36,0.27,0.30,0.65,0.18,-0.38
grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_7pct,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,7,3500,3,32.13,0.25,42.53,0.57,3,yes,,abl7_none,32.09,0.04,0.42,0.29,0.45,-0.25
grid_c100_r18_axrotinvL3_l03_a9b216_100pct,cifar100,resnet18,sgd,200,linear,none,,,energy-rotinv,layer3,0.3,,100,50000,3,78.18,0.06,78.01,0.01,3,yes,,ablf_none,78.52,-0.34,0.10,,,
grid_c100_r18_axrotinvL3_l03_a9b216_15pct,cifar100,resnet18,sgd,200,linear,none,,,energy-rotinv,layer3,0.3,,15,7500,3,49.88,0.49,54.82,0.47,3,yes,,abl15_none,50.09,-0.21,0.39,0.19,0.34,-0.40
