,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
"aux(moments-cat@L3,L0.3)",cifar100,resnet18,variant,9.00,14.18,19.01,25.92,32.74,40.19,50.35,56.53,61.28,71.18,78.50,0.06,0.00,0.54,0.56,0.65,-0.09,0.26,-0.47,-0.07,-0.61,-0.01,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmomentscatL3_l03_d020d0_1pct grid_c100_r18_axmomentscatL3_l03_d020d0_2pct grid_c100_r18_axmomentscatL3_l03_d020d0_3pct grid_c100_r18_axmomentscatL3_l03_d020d0_5pct grid_c100_r18_axmomentscatL3_l03_d020d0_7pct auxgab_10pct_l30 grid_c100_r18_axmomentscatL3_l03_d020d0_15pct grid_c100_r18_axmomentscatL3_l03_d020d0_20pct grid_c100_r18_axmomentscatL3_l03_d020d0_25pct grid_c100_r18_axmomentscatL3_l03_d020d0_50pct grid_c100_r18_axmomentscatL3_l03_d020d0_100pct
"aux(random-fixed@L3,L0.3)",cifar100,resnet18,variant,9.21,14.44,18.61,25.24,32.14,40.32,50.41,56.92,60.78,71.16,78.28,0.28,0.27,0.14,-0.12,0.04,0.04,0.32,-0.08,-0.57,-0.62,-0.24,3,3,3,3,3,3,3,3,3,3,3,auxrand_1pct_l30 grid_c100_r18_axrandomfixedL3_l03_ae7802_2pct grid_c100_r18_axrandomfixedL3_l03_ae7802_3pct auxrand_5pct_l30 grid_c100_r18_axrandomfixedL3_l03_ae7802_7pct auxrand_10pct_l30 grid_c100_r18_axrandomfixedL3_l03_ae7802_15pct grid_c100_r18_axrandomfixedL3_l03_ae7802_20pct grid_c100_r18_axrandomfixedL3_l03_ae7802_25pct grid_c100_r18_axrandomfixedL3_l03_ae7802_50pct grid_c100_r18_axrandomfixedL3_l03_ae7802_100pct
"aux(random-fixed@L3,L2.0>0.0)",cifar100,resnet18,variant,9.48,14.63,18.86,25.63,32.13,40.04,49.97,55.66,60.11,71.03,78.17,0.55,0.45,0.39,0.27,0.04,-0.24,-0.12,-1.34,-1.24,-0.75,-0.35,3,3,3,3,3,3,3,3,3,3,3,auxrand_1pct_sched2 grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_2pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_3pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_5pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_7pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_10pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_15pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_20pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_25pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_50pct grid_c100_r18_axrandomfixedL3_l20to00_80c6c7_100pct
"aux(rotinv@L3,L0.3)",cifar100,resnet18,variant,9.45,14.66,19.13,26.80,33.13,41.02,49.88,56.24,60.39,71.24,78.18,0.51,0.49,0.66,1.43,1.03,0.74,-0.21,-0.76,-0.96,-0.54,-0.34,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axrotinvL3_l03_a9b216_1pct grid_c100_r18_axrotinvL3_l03_a9b216_2pct grid_c100_r18_axrotinvL3_l03_a9b216_3pct grid_c100_r18_axrotinvL3_l03_a9b216_5pct grid_c100_r18_axrotinvL3_l03_a9b216_7pct auxrot_10pct_l30 grid_c100_r18_axrotinvL3_l03_a9b216_15pct grid_c100_r18_axrotinvL3_l03_a9b216_20pct grid_c100_r18_axrotinvL3_l03_a9b216_25pct grid_c100_r18_axrotinvL3_l03_a9b216_50pct grid_c100_r18_axrotinvL3_l03_a9b216_100pct
"aux(steerable@L3,L0.3)",cifar100,resnet18,variant,9.47,14.84,19.42,26.91,34.01,41.19,50.42,56.39,60.63,70.72,78.01,0.53,0.66,0.95,1.55,1.92,0.91,0.33,-0.61,-0.72,-1.07,-0.51,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axsteerableL3_l03_db5093_1pct grid_c100_r18_axsteerableL3_l03_db5093_2pct grid_c100_r18_axsteerableL3_l03_db5093_3pct grid_c100_r18_axsteerableL3_l03_db5093_5pct grid_c100_r18_axsteerableL3_l03_db5093_7pct auxste_10pct_l30 grid_c100_r18_axsteerableL3_l03_db5093_15pct grid_c100_r18_axsteerableL3_l03_db5093_20pct grid_c100_r18_axsteerableL3_l03_db5093_25pct grid_c100_r18_axsteerableL3_l03_db5093_50pct grid_c100_r18_axsteerableL3_l03_db5093_100pct
"aux(structure@L3,L0.3)",cifar100,resnet18,variant,9.40,14.71,18.66,26.44,33.67,41.96,51.59,57.43,61.56,71.33,78.39,0.46,0.54,0.19,1.07,1.58,1.68,1.50,0.43,0.21,-0.46,-0.13,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axstructureL3_l03_26d33f_1pct grid_c100_r18_axstructureL3_l03_26d33f_2pct grid_c100_r18_axstructureL3_l03_26d33f_3pct grid_c100_r18_axstructureL3_l03_26d33f_5pct grid_c100_r18_axstructureL3_l03_26d33f_7pct auxstr_10pct_l30 grid_c100_r18_axstructureL3_l03_26d33f_15pct grid_c100_r18_axstructureL3_l03_26d33f_20pct grid_c100_r18_axstructureL3_l03_26d33f_25pct grid_c100_r18_axstructureL3_l03_26d33f_50pct grid_c100_r18_axstructureL3_l03_26d33f_100pct
aux-HOG(L0.3),cifar100,resnet18,variant,9.20,14.65,19.09,26.45,33.32,41.55,51.69,57.61,62.05,71.60,78.42,0.27,0.47,0.62,1.08,1.23,1.27,1.60,0.61,0.70,-0.19,-0.10,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axhog_l03_fc141d_1pct grid_c100_r18_axhog_l03_fc141d_2pct grid_c100_r18_axhog_l03_fc141d_3pct auxhog_5pct grid_c100_r18_axhog_l03_fc141d_7pct auxhog_10pct grid_c100_r18_axhog_l03_fc141d_15pct grid_c100_r18_axhog_l03_fc141d_20pct grid_c100_r18_axhog_l03_fc141d_25pct grid_c100_r18_axhog_l03_fc141d_50pct grid_c100_r18_axhog_l03_fc141d_100pct
aux-TEACHER(fitnets)(L0.3),cifar100,resnet18,variant,8.93,13.93,18.47,24.87,32.82,40.34,50.44,56.81,61.32,71.50,78.48,-0.00,-0.25,0.00,-0.49,0.73,0.06,0.35,-0.19,-0.03,-0.29,-0.04,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axteach_l03_10e860_1pct grid_c100_r18_axteach_l03_10e860_2pct grid_c100_r18_axteach_l03_10e860_3pct auxteach_5pct grid_c100_r18_axteach_l03_10e860_7pct auxteach_10pct grid_c100_r18_axteach_l03_10e860_15pct grid_c100_r18_axteach_l03_10e860_20pct grid_c100_r18_axteach_l03_10e860_25pct grid_c100_r18_axteach_l03_10e860_50pct grid_c100_r18_axteach_l03_10e860_100pct
"pool(learned,J8)",cifar100,resnet18,variant,1.00,1.00,4.93,1.08,1.00,1.11,1.00,29.87,31.61,23.00,25.59,-7.93,-13.17,-13.54,-24.28,-31.09,-39.17,-49.09,-27.13,-29.74,-48.79,-52.92,3,3,3,3,3,3,3,3,3,3,3,pool1_learned grid_c100_r18_poollearned_d9c446_2pct grid_c100_r18_poollearned_d9c446_3pct grid_c100_r18_poollearned_d9c446_5pct grid_c100_r18_poollearned_d9c446_7pct pool10_learned grid_c100_r18_poollearned_d9c446_15pct grid_c100_r18_poollearned_d9c446_20pct grid_c100_r18_poollearned_d9c446_25pct grid_c100_r18_poollearned_d9c446_50pct pool100_learned
"pool(random,J8)",cifar100,resnet18,variant,9.63,13.25,16.82,21.11,25.18,32.45,42.90,51.69,57.51,69.08,77.06,0.69,-0.92,-1.65,-4.26,-6.91,-7.83,-7.19,-5.31,-3.84,-2.70,-1.46,3,3,3,3,3,3,3,3,3,3,3,pool1_random grid_c100_r18_poolrandom_8af5c3_2pct grid_c100_r18_poolrandom_8af5c3_3pct grid_c100_r18_poolrandom_8af5c3_5pct grid_c100_r18_poolrandom_8af5c3_7pct pool10_random grid_c100_r18_poolrandom_8af5c3_15pct grid_c100_r18_poolrandom_8af5c3_20pct grid_c100_r18_poolrandom_8af5c3_25pct grid_c100_r18_poolrandom_8af5c3_50pct pool100_random
"pool(zernike,J8)",cifar100,resnet18,variant,9.51,12.95,15.96,21.33,25.08,31.35,40.11,50.28,54.42,68.35,76.79,0.57,-1.22,-2.51,-4.03,-7.01,-8.93,-9.98,-6.72,-6.93,-3.44,-1.72,3,3,3,3,3,3,3,3,3,3,3,pool1_zernike grid_c100_r18_poolzernike_8f86be_2pct grid_c100_r18_poolzernike_8f86be_3pct grid_c100_r18_poolzernike_8f86be_5pct grid_c100_r18_poolzernike_8f86be_7pct pool10_zernike grid_c100_r18_poolzernike_8f86be_15pct grid_c100_r18_poolzernike_8f86be_20pct grid_c100_r18_poolzernike_8f86be_25pct grid_c100_r18_poolzernike_8f86be_50pct pool100_zernike
simclr-init,cifar100,resnet18,variant,11.21,19.05,24.46,34.41,41.95,49.04,56.73,61.55,64.16,71.94,78.73,2.27,4.88,5.99,9.05,9.86,8.76,6.64,4.55,2.81,0.16,0.21,3,3,3,3,3,3,3,3,3,3,3,diagssl_simclr_1pct diagssl_simclr_2pct diagssl_simclr_3pct diagssl_simclr_5pct diagssl_simclr_7pct diagssl_simclr_10pct diagssl_simclr_15pct diaggrid_c100_r18_ssl_405e71_20pct diagssl_simclr_25pct diaggrid_c100_r18_ssl_405e71_50pct diagssl_simclr_100pct
simclr-init,cifar100,resnet18,variant,11.30,18.93,24.59,34.68,41.74,48.89,57.16,60.39,63.73,71.92,78.50,2.37,4.76,6.12,9.32,9.65,8.61,7.07,3.39,2.38,0.14,-0.02,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simclr_c100_1pct diaggrid_simclr_c100_2pct diaggrid_simclr_c100_3pct diaggrid_simclr_c100_5pct diaggrid_simclr_c100_7pct diaggrid_simclr_c100_10pct diaggrid_simclr_c100_15pct diaggrid_simclr_c100_20pct diaggrid_simclr_c100_25pct diaggrid_simclr_c100_50pct diaggrid_simclr_c100_100pct
simclr-init,cifar100,resnet18,variant,13.47,22.50,29.29,39.75,45.97,51.20,58.45,,64.12,,,4.54,8.33,10.82,14.38,13.88,10.92,8.36,,2.77,,,3,3,3,3,3,3,3,,3,,,diagsslbudget_simclr800_c100_1pct diagsslbudget_simclr800_c100_2pct diagsslbudget_simclr800_c100_3pct diagsslbudget_simclr800_c100_5pct diagsslbudget_simclr800_c100_7pct diagsslbudget_simclr800_c100_10pct diagsslbudget_simclr800_c100_15pct diagsslbudget_simclr800_c100_25pct
simclr50-init,cifar100,resnet18,variant,9.57,15.87,21.22,30.81,36.96,44.77,53.40,58.79,62.93,71.48,78.68,0.63,1.69,2.75,5.45,4.87,4.49,3.31,1.79,1.58,-0.31,0.16,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_ssl_4de209_1pct diaggrid_c100_r18_ssl_4de209_2pct diaggrid_c100_r18_ssl_4de209_3pct diagssl_simclr50_5pct diaggrid_c100_r18_ssl_4de209_7pct diaggrid_c100_r18_ssl_4de209_10pct diaggrid_c100_r18_ssl_4de209_15pct diaggrid_c100_r18_ssl_4de209_20pct diaggrid_c100_r18_ssl_4de209_25pct diaggrid_c100_r18_ssl_4de209_50pct diaggrid_c100_r18_ssl_4de209_100pct
simsiam-init,cifar100,resnet18,variant,8.92,14.06,18.58,25.49,32.96,40.89,50.26,57.39,61.32,71.20,77.80,-0.02,-0.11,0.11,0.13,0.87,0.61,0.17,0.39,-0.03,-0.58,-0.72,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_c100_1pct diaggrid_simsiam_c100_2pct diaggrid_simsiam_c100_3pct diaggrid_simsiam_c100_5pct diaggrid_simsiam_c100_7pct diaggrid_simsiam_c100_10pct diaggrid_simsiam_c100_15pct diaggrid_simsiam_c100_20pct diaggrid_simsiam_c100_25pct diaggrid_simsiam_c100_50pct diaggrid_simsiam_c100_100pct
simsiam-init,cifar100,resnet18,variant,8.85,14.36,19.01,27.26,35.48,44.61,53.74,,62.14,,,-0.09,0.19,0.54,1.90,3.39,4.33,3.65,,0.79,,,3,3,3,3,3,3,3,,3,,,diagsslbudget_simsiam800_c100_1pct diagsslbudget_simsiam800_c100_2pct diagsslbudget_simsiam800_c100_3pct diagsslbudget_simsiam800_c100_5pct diagsslbudget_simsiam800_c100_7pct diagsslbudget_simsiam800_c100_10pct diagsslbudget_simsiam800_c100_15pct diagsslbudget_simsiam800_c100_25pct
"stem(energy-invariants,k11)",cifar100,resnet18,variant,9.37,14.09,18.10,21.84,23.30,30.83,39.24,,50.96,,77.39,0.43,-0.08,-0.37,-3.53,-8.79,-9.45,-10.85,,-10.39,,-1.13,3,3,3,3,3,3,3,,3,,3,eninv_1pct eninv_2pct eninv_3pct eninv_5pct eninv_7pct eninv_10pct eninv_15pct eninv_25pct eninv_100pct
"stem(energy-magnitude,k11)",cifar100,resnet18,variant,11.45,17.70,21.46,28.57,32.87,38.44,45.33,50.35,53.92,63.92,76.49,2.51,3.52,2.99,3.21,0.78,-1.84,-4.76,-6.65,-7.43,-7.87,-2.03,3,3,3,3,3,3,3,3,3,3,3,enmag_1pct enmag_2pct enmag_3pct enmag_5pct enmag_7pct enmag_10pct enmag_15pct grid_c100_r18_stenergymagnitudek11_b009ac_20pct enmag_25pct grid_c100_r18_stenergymagnitudek11_b009ac_50pct enmag_100pct
"stem(energy-rotinv,k11)",cifar100,resnet18,variant,9.87,14.88,19.12,25.68,29.31,34.54,41.10,45.56,49.48,66.57,77.09,0.94,0.71,0.65,0.32,-2.78,-5.74,-8.99,-11.44,-11.87,-5.22,-1.42,3,3,3,3,3,3,3,3,3,3,3,enrot_1pct enrot_2pct enrot_3pct enrot_5pct enrot_7pct enrot_10pct enrot_15pct grid_c100_r18_stenergyrotinvk11_d39a1c_20pct enrot_25pct grid_c100_r18_stenergyrotinvk11_d39a1c_50pct enrot_100pct
"stem(energy-steerable,k11)",cifar100,resnet18,variant,10.77,15.86,20.28,26.73,31.04,35.36,41.69,46.10,50.28,64.40,77.43,1.83,1.69,1.81,1.37,-1.05,-4.92,-8.40,-10.90,-11.07,-7.39,-1.09,3,3,3,3,3,3,3,3,3,3,3,enste_1pct enste_2pct enste_3pct enste_5pct enste_7pct enste_10pct enste_15pct grid_c100_r18_stenergysteerablek11_007504_20pct enste_25pct grid_c100_r18_stenergysteerablek11_007504_50pct enste_100pct
"stem(energy-structure,k11)",cifar100,resnet18,variant,9.37,14.40,18.68,24.96,29.68,34.98,42.28,47.83,52.69,69.34,77.48,0.44,0.23,0.21,-0.40,-2.42,-5.30,-7.81,-9.17,-8.66,-2.45,-1.03,3,3,3,3,3,3,3,3,3,3,3,enstr_1pct enstr_2pct enstr_3pct enstr_5pct enstr_7pct enstr_10pct enstr_15pct grid_c100_r18_stenergystructurek11_e0cf81_20pct enstr_25pct grid_c100_r18_stenergystructurek11_e0cf81_50pct enstr_100pct
"stem(gabor-learn,k11)",cifar100,resnet18,variant,8.67,13.40,18.05,23.34,29.14,35.84,45.09,52.90,58.00,70.47,78.04,-0.26,-0.77,-0.42,-2.02,-2.95,-4.44,-5.00,-4.10,-3.35,-1.31,-0.48,3,3,3,3,3,3,3,3,3,3,1,grid_c100_r18_stgaborlearnk11_b3375b_1pct grid_c100_r18_stgaborlearnk11_b3375b_2pct grid_c100_r18_stgaborlearnk11_b3375b_3pct grid_c100_r18_stgaborlearnk11_b3375b_5pct grid_c100_r18_stgaborlearnk11_b3375b_7pct grid_c100_r18_stgaborlearnk11_b3375b_10pct grid_c100_r18_stgaborlearnk11_b3375b_15pct grid_c100_r18_stgaborlearnk11_b3375b_20pct grid_c100_r18_stgaborlearnk11_b3375b_25pct grid_c100_r18_stgaborlearnk11_b3375b_50pct ablf_gaborlearn_calib
"stem(gabor-learn,k11) + kw(use_zernike=False)",cifar100,resnet18,variant,8.89,14.45,18.98,24.34,30.20,37.23,46.16,54.70,59.69,70.63,78.43,-0.04,0.28,0.51,-1.03,-1.89,-3.05,-3.93,-2.30,-1.66,-1.15,-0.08,3,3,3,3,3,3,3,3,3,3,3,gl1_gaborlearn grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_2pct grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_3pct gl5_gaborlearn grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_7pct gl10_gaborlearn gl15_gaborlearn grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_20pct grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_25pct grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_50pct grid_c100_r18_stgaborlearnk11_kw03e54b_a324d3_100pct
"stem(gabor-learn,k11,unfreeze@50) + kw(use_zernike=False)",cifar100,resnet18,variant,10.21,15.84,19.44,27.16,32.63,39.00,48.20,55.83,60.07,71.49,78.51,1.27,1.67,0.97,1.79,0.53,-1.28,-1.89,-1.17,-1.28,-0.30,-0.01,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_stgaborlearnk11_kw03e54b_615736_1pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_2pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_3pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_5pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_7pct uf10_gaborwarm grid_c100_r18_stgaborlearnk11_kw03e54b_615736_15pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_20pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_25pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_50pct grid_c100_r18_stgaborlearnk11_kw03e54b_615736_100pct
"stem(gabor-learn,k11,unfreeze@70) + kw(use_zernike=False)",cifar100,resnet18,variant,10.26,15.68,20.00,27.44,32.19,39.15,47.71,55.28,60.05,71.41,78.47,1.32,1.51,1.53,2.07,0.10,-1.13,-2.38,-1.72,-1.30,-0.38,-0.04,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_1pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_2pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_3pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_5pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_7pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_10pct uf15_gaborwarm grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_20pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_25pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_50pct grid_c100_r18_stgaborlearnk11_kw03e54b_2f7208_100pct
"stem(learned,k11,nocal)",cifar100,resnet18,variant,8.00,12.08,15.58,21.31,25.45,32.71,44.06,52.31,58.31,70.52,78.13,-0.94,-2.09,-2.89,-4.06,-6.64,-7.57,-6.03,-4.69,-3.04,-1.27,-0.39,3,3,3,3,3,1,3,3,3,3,1,abl1_learned grid_c100_r18_stlearnedk11_037422_2pct grid_c100_r18_stlearnedk11_037422_3pct abl5_learned grid_c100_r18_stlearnedk11_037422_7pct abl_learned grid_c100_r18_stlearnedk11_037422_15pct grid_c100_r18_stlearnedk11_037422_20pct grid_c100_r18_stlearnedk11_037422_25pct grid_c100_r18_stlearnedk11_037422_50pct ablf_learned
"stem(moments-cat,k11)",cifar100,resnet18,variant,10.00,15.95,19.93,26.57,31.72,38.60,45.81,53.42,58.58,70.74,77.84,1.06,1.77,1.46,1.21,-0.38,-1.68,-4.28,-3.58,-2.77,-1.04,-0.68,3,3,3,3,3,1,3,3,3,3,2,abl1_cat_calib grid_c100_r18_stmomentscatk11_510a3c_2pct grid_c100_r18_stmomentscatk11_510a3c_3pct abl5_cat_calib grid_c100_r18_stmomentscatk11_510a3c_7pct abl_cat_calib grid_c100_r18_stmomentscatk11_510a3c_15pct grid_c100_r18_stmomentscatk11_510a3c_20pct grid_c100_r18_stmomentscatk11_510a3c_25pct grid_c100_r18_stmomentscatk11_510a3c_50pct ablf_cat_calib
"stem(moments-cat,k11) + kw(gabor_bank_type=grid)",cifar100,resnet18,variant,9.82,15.97,20.10,26.92,32.04,37.73,46.42,54.35,58.75,70.55,77.95,0.89,1.79,1.63,1.55,-0.05,-2.55,-3.67,-2.65,-2.60,-1.24,-0.57,3,3,3,3,3,1,3,3,3,3,3,grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_1pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_2pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_3pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_5pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_7pct abl_cat_calib_grid grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_15pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_20pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_25pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_50pct grid_c100_r18_stmomentscatk11_kw6bd8ad_708dc6_100pct
"stem(moments-cat,k11) + kw(gabor_bank_type=luma,use_zernike=False)",cifar100,resnet18,variant,10.18,16.53,20.99,27.62,33.35,38.49,46.08,51.96,56.40,69.53,77.15,1.25,2.36,2.52,2.25,1.25,-1.79,-4.01,-5.04,-4.95,-2.26,-1.37,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_1pct grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_2pct grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_3pct luma5_gabor grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_7pct luma10_gabor grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_15pct grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_20pct grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_25pct grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_50pct grid_c100_r18_stmomentscatk11_kwe61c0d_b5162e_100pct
"stem(moments-cat,k11) + kw(gabor_bank_type=pyramid,use_zernike=False)",cifar100,resnet18,variant,10.00,16.09,20.46,27.40,32.49,39.12,47.72,54.32,59.88,70.44,78.07,1.07,1.92,1.99,2.04,0.40,-1.16,-2.37,-2.68,-1.47,-1.35,-0.45,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_1pct grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_2pct grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_3pct pyramid5_gabor grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_7pct pyramid10_gabor grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_15pct grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_20pct grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_25pct grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_50pct grid_c100_r18_stmomentscatk11_kw1d5981_dd9d31_100pct
"stem(moments-cat,k11) + kw(include_identity=False)",cifar100,resnet18,variant,9.68,15.63,20.02,26.46,31.79,37.52,46.43,52.06,56.72,68.37,76.71,0.74,1.46,1.55,1.09,-0.30,-2.76,-3.66,-4.94,-4.63,-3.42,-1.81,3,3,3,3,3,3,3,3,3,3,1,grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_1pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_2pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_3pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_5pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_7pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_10pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_15pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_20pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_25pct grid_c100_r18_stmomentscatk11_kw7533d3_7ed33b_50pct ablf_noidentity_calib
"stem(moments-cat,k11) + kw(use_gabor=False)",cifar100,resnet18,variant,9.69,14.85,18.96,25.11,29.32,34.21,41.38,48.62,55.27,69.94,77.92,0.75,0.67,0.49,-0.26,-2.77,-6.07,-8.71,-8.38,-6.08,-1.84,-0.60,3,3,3,3,3,3,3,3,3,3,1,grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_1pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_2pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_3pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_5pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_7pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_10pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_15pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_20pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_25pct grid_c100_r18_stmomentscatk11_kw4dc8be_0802e2_50pct ablf_zernikeonly_calib
"stem(moments-cat,k11) + kw(use_zernike=False)",cifar100,resnet18,variant,10.25,15.96,20.32,27.14,32.67,38.78,47.72,55.33,59.75,71.21,78.51,1.31,1.79,1.85,1.78,0.58,-1.50,-2.37,-1.67,-1.60,-0.58,-0.01,3,3,3,3,3,3,3,3,3,3,3,abl1_gaboronly_calib abl2_gaboronly_calib abl3_gaboronly_calib abl5_gaboronly_calib abl7_gaboronly_calib abl10_gaboronly_calib abl15_gaboronly_calib grid_c100_r18_stmomentscatk11_kw03e54b_19ae4e_20pct abl25_gaboronly_calib grid_c100_r18_stmomentscatk11_kw03e54b_19ae4e_50pct ablf_gaboronly_calib
"stem(moments-cat,k11) + kw(use_zernike=False)  [100ep]",cifar100,resnet18,variant,9.24,14.93,19.29,25.72,30.97,37.25,45.26,52.08,56.92,69.49,76.84,1.03,1.74,1.96,2.56,0.90,-0.64,-2.05,-2.20,-1.97,-0.98,-0.83,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_1pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_2pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_3pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_5pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_7pct diag10e100_gaboronly_calib diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_15pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_20pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_25pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_50pct diaggrid_c100_r18_e100_stmomentscatk11_kw03e54b_1201eb_100pct
