,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
BASELINE  [adamw],cifar10,vit_tiny,baseline,29.86,35.30,38.11,45.31,48.39,52.25,61.21,60.35,68.58,75.14,80.83,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_c10_none_1pct diaggrid_vit_c10_none_2pct diaggrid_vit_c10_none_3pct diaggrid_vit_c10_none_5pct diaggrid_vit_c10_none_7pct diaggrid_vit_c10_none_10pct diaggrid_vit_c10_none_15pct diaggrid_vit_c10_none_20pct diaggrid_vit_c10_none_25pct diaggrid_vit_c10_none_50pct diaggrid_vit_c10_none_100pct
deit-aug  [adamw],cifar10,vit_tiny,baseline,25.74,28.06,35.65,38.98,37.75,42.19,48.59,52.97,56.35,67.07,81.19,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_c10_none_1pct diaggrid_deit_c10_none_2pct diaggrid_deit_c10_none_3pct diaggrid_deit_c10_none_5pct diaggrid_deit_c10_none_7pct diaggrid_deit_c10_none_10pct diaggrid_deit_c10_none_15pct diaggrid_deit_c10_none_20pct diaggrid_deit_c10_none_25pct diaggrid_deit_c10_none_50pct diaggrid_deit_c10_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",cifar10,vit_tiny,variant,35.53,44.29,50.12,57.65,61.74,66.27,71.27,74.57,76.92,83.58,89.83,5.67,9.00,12.02,12.34,13.35,14.02,10.06,14.23,8.34,8.44,9.00,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_c10_aux_1pct diaggrid_vit_c10_aux_2pct diaggrid_vit_c10_aux_3pct diaggrid_vit_c10_aux_5pct diaggrid_vit_c10_aux_7pct diaggrid_vit_c10_aux_10pct diaggrid_vit_c10_aux_15pct diaggrid_vit_c10_aux_20pct diaggrid_vit_c10_aux_25pct diaggrid_vit_c10_aux_50pct diaggrid_vit_c10_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",cifar10,vit_tiny,variant,39.34,50.52,55.08,63.26,69.51,75.32,80.26,83.15,85.26,90.72,93.94,13.60,22.46,19.43,24.28,31.76,33.13,31.67,30.18,28.90,23.66,12.75,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_c10_aux_1pct diaggrid_deit_c10_aux_2pct diaggrid_deit_c10_aux_3pct diaggrid_deit_c10_aux_5pct diaggrid_deit_c10_aux_7pct diaggrid_deit_c10_aux_10pct diaggrid_deit_c10_aux_15pct diaggrid_deit_c10_aux_20pct diaggrid_deit_c10_aux_25pct diaggrid_deit_c10_aux_50pct diaggrid_deit_c10_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + dino-init  [adamw]",cifar10,vit_tiny,variant,,,,,,66.15,,,,,,,,,,,13.90,,,,,,,,,,,3,,,,,,diagprosp_dinoaux_c10_10pct
dino-init  [adamw],cifar10,vit_tiny,variant,30.64,37.17,42.16,51.00,56.84,63.11,68.03,71.99,74.49,81.39,88.71,0.78,1.87,4.05,5.69,8.45,10.87,6.82,11.64,5.91,6.25,7.88,3,3,3,3,3,3,3,3,3,3,3,diaggrid_dino_c10_1pct diaggrid_dino_c10_2pct diaggrid_dino_c10_3pct diaggrid_dino_c10_5pct diaggrid_dino_c10_7pct diaggrid_dino_c10_10pct diaggrid_dino_c10_15pct diaggrid_dino_c10_20pct diaggrid_dino_c10_25pct diaggrid_dino_c10_50pct diaggrid_dino_c10_100pct
BASELINE,cifar100,convnext_tiny,baseline,5.42,7.08,5.97,11.42,8.55,16.75,12.54,23.40,23.96,33.72,21.51,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_c100_cnx_64bc90_1pct grid_c100_cnx_64bc90_2pct grid_c100_cnx_64bc90_3pct grid_c100_cnx_64bc90_5pct grid_c100_cnx_64bc90_7pct cnx_none_10pct grid_c100_cnx_64bc90_15pct grid_c100_cnx_64bc90_20pct grid_c100_cnx_64bc90_25pct grid_c100_cnx_64bc90_50pct grid_c100_cnx_64bc90_100pct
BASELINE  [adamw],cifar100,convnext_tiny,baseline,6.97,10.36,12.55,16.97,20.26,23.31,32.87,36.59,41.02,55.01,67.86,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_cnx_adamw_c79e16_1pct diaggrid_c100_cnx_adamw_c79e16_2pct diaggrid_c100_cnx_adamw_c79e16_3pct diaggrid_c100_cnx_adamw_c79e16_5pct diaggrid_c100_cnx_adamw_c79e16_7pct diagcnxadamw_none_10pct diaggrid_c100_cnx_adamw_c79e16_15pct diaggrid_c100_cnx_adamw_c79e16_20pct diaggrid_c100_cnx_adamw_c79e16_25pct diaggrid_c100_cnx_adamw_c79e16_50pct diaggrid_c100_cnx_adamw_c79e16_100pct
"aux(magnitude@stages.2,L1.0>0.0)",cifar100,convnext_tiny,variant,0.80,0.94,0.90,0.89,0.81,0.92,1.08,0.88,0.71,1.02,0.78,-4.62,-6.13,-5.07,-10.53,-7.74,-15.83,-11.46,-22.51,-23.25,-32.71,-20.73,3,3,3,3,3,3,3,3,3,3,3,grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_1pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_2pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_3pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_5pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_7pct cnx_aux_10pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_15pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_20pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_25pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_50pct grid_c100_cnx_axmagnitudes2_l10to00_4a79ac_100pct
"aux(magnitude@stages.2,L1.0>0.0)  [adamw]",cifar100,convnext_tiny,variant,8.27,14.08,18.27,24.58,29.08,33.88,39.60,45.36,48.83,61.09,71.35,1.30,3.72,5.72,7.61,8.82,10.57,6.73,8.78,7.81,6.08,3.49,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_1pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_2pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_3pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_5pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_7pct diagcnxadamw_aux_10pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_15pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_20pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_25pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_50pct diaggrid_c100_cnx_adamw_axmagnitudes2_l10to00_df3002_100pct
